Data;SGS 21424;SGS 13645;SGS 21082
mar/11;16.99;5.5;3.17
abr/11;16.67;5.6;3.24
mai/11;16.65;5.6;3.37
jun/11;16.92;5.6;3.32
jul/11;16.34;5.7;3.42
ago/11;16.18;5.7;3.45
set/11;16.08;5.6;3.46
out/11;16.17;5.7;3.58
nov/11;16.52;5.7;3.58
dez/11;16.33;5.7;3.54
jan/12;16;5.8;3.66
fev/12;16.07;5.8;3.71
mar/12;16;5.7;3.67
abr/12;15.94;5.7;3.76
mai/12;16;5.7;3.76
jun/12;16.43;5.7;3.71
jul/12;16.64;5.7;3.72
ago/12;16.38;5.8;3.75
set/12;16.41;5.7;3.72
out/12;16.32;5.7;3.76
nov/12;16.4;5.7;3.67
dez/12;16.43;5.5;3.55
jan/13;16.59;5.5;3.54
fev/13;16.51;5.5;3.51
mar/13;17.02;5.4;3.45
abr/13;17.62;5.5;3.47
mai/13;17.21;5.4;3.47
jun/13;16.87;5.2;3.25
jul/13;17.3;5.2;3.21
ago/13;16.98;5.1;3.13
set/13;17.06;5.1;3.14
out/13;16.76;5.1;3.06
nov/13;16.59;5.1;2.97
dez/13;16.12;5;2.86
jan/14;14.96;5;2.84
fev/14;15.19;4.9;2.86
mar/14;15.42;4.9;2.88
abr/14;15.45;4.9;2.92
mai/14;15.36;4.8;3
jun/14;15.48;4.8;2.9
jul/14;15.81;4.8;2.96
ago/14;16.59;4.9;2.98
set/14;16.5;4.8;2.91
out/14;16.7;4.9;2.96
nov/14;16.58;4.8;2.85
dez/14;16.67;4.9;2.73
jan/15;15.98;4.9;2.82
fev/15;15.63;4.9;2.85
mar/15;15.53;4.9;2.82
abr/15;15.81;4.9;2.96
mai/15;15.97;5;3.02
jun/15;16.33;5;2.92
jul/15;16.13;5.1;3.03
ago/15;15.88;5.2;3.12
set/15;15.47;5.5;3.12
out/15;15.7;5.6;3.24
nov/15;15.83;5.7;3.38
dez/15;16.33;5.7;3.37
jan/16;15.3;5.8;3.47
fev/16;15.58;6;3.5
mar/16;16.25;6;3.53
abr/16;16.19;6.1;3.65
mai/16;16.29;6.2;3.73
jun/16;16.53;6.2;3.51
jul/16;16.27;6.4;3.56
ago/16;16.59;6.4;3.64
set/16;16.74;6.5;3.68
out/16;16.89;6.6;3.84
nov/16;17.08;6.5;3.8
dez/16;17.15;6.6;3.7
jan/17;16.56;6.8;3.73
fev/17;16.56;6.8;3.75
mar/17;16.73;6.8;3.85
abr/17;16.88;6.8;3.93
mai/17;16.96;6.9;4.04
jun/17;17.35;6.8;3.73
jul/17;17.68;6.6;3.69
ago/17;17.85;6.6;3.7
set/17;17.96;6.6;3.6
out/17;17.85;6.7;3.63
nov/17;17.93;6.6;3.54
dez/17;18.15;6.5;3.24
jan/18;17.4;6.5;3.42
fev/18;17.27;6.5;3.43
mar/18;17.25;6.4;3.29
abr/18;17.41;6.4;3.32
mai/18;17.07;6.4;3.3
jun/18;17.17;6.3;3.04
jul/18;17.58;6.4;3.02
ago/18;16.96;6.4;3.04
set/18;17.66;6.4;3.04
out/18;18.07;6.5;3.05
nov/18;18.08;6.4;2.96
dez/18;17.95;6.4;2.87
jan/19;17.84;6.4;2.95
fev/19;17.71;6.3;2.91
mar/19;17.82;6.3;2.99
abr/19;17.97;6.3;3.02
mai/19;18.08;6.3;3.05
jun/19;18.02;6.1;2.95
jul/19;17.93;6.1;3.06
ago/19;17.72;6.2;3.04
set/19;17.74;6.1;3.06
out/19;18.01;6.1;3.03
nov/19;17.84;6.2;3.01
dez/19;17.12;6.4;2.94
jan/20;16.7;6.4;3
fev/20;16.17;6.4;3.04
mar/20;15.63;6.6;3.18
abr/20;15.73;6.7;3.3
mai/20;15.93;6.8;3.25
jun/20;16.32;6.9;2.9
jul/20;16.59;6.8;2.77
ago/20;16.53;6.7;2.66
set/20;16.66;6.5;2.44
out/20;16.48;6.5;2.36
nov/20;16.78;6.6;2.24
dez/20;16.85;6.4;2.12
jan/21;16.49;6.4;2.15
fev/21;16.36;6.3;2.24
mar/21;16.45;6.2;2.14
abr/21;16.63;6.2;2.2
mai/21;16.75;6.1;2.34
jun/21;16.91;6.1;2.28
jul/21;16.78;6.1;2.32
ago/21;16.65;6;2.32
set/21;16.76;5.8;2.29
out/21;16.29;5.8;2.28
nov/21;16.53;5.8;2.32
dez/21;16.51;5.8;2.31
jan/22;16.11;5.8;2.46
fev/22;16.13;5.8;2.52
